,YEAR WON,SPORT,LEVEL,GENDER,DIVISION,WINNER
121,1951-52,Football,Sr. Varsity,Boys,Div I,Western Canada
122,1952-53,Basketball,Jr. Varsity,Boys,Div I,Central Collegiate Institute
123,1952-53,Basketball,Jr. Varsity,Girls,Div I,Crescent Heights
124,1952-53,Basketball,Sr. Varsity,Boys,Div I,Central Collegiate Institute
125,1952-53,Basketball,Sr. Varsity,Girls,Div I,Central Collegiate Institute
126,1952-53,Football,Jr. Varsity,Boys,Div I,St. Mary's
127,1952-53,Football,Sr. Varsity,Boys,Div I,Western Canada
128,1953-54,Basketball,Jr. Varsity,Boys,Div I,Crescent Heights
129,1953-54,Basketball,Jr. Varsity,Girls,Div I,Crescent Heights
130,1953-54,Basketball,Sr. Varsity,Boys,Div I,Central Collegiate Institute
131,1953-54,Basketball,Sr. Varsity,Girls,Div I,Western Canada
132,1953-54,Football,Jr. Varsity,Boys,Div I,St. Mary's
133,1953-54,Football,Sr. Varsity,Boys,Div I,St. Mary's
134,1954-55,Basketball,Jr. Varsity,Boys,Div I,Crescent Heights
135,1954-55,Basketball,Jr. Varsity,Girls,Div I,Central Collegiate Institute
136,1954-55,Basketball,Sr. Varsity,Boys,Div I,Central Collegiate Institute
137,1954-55,Basketball,Sr. Varsity,Girls,Div I,Crescent Heights
138,1954-55,Football,Jr. Varsity,Boys,Div I,St. Mary's
139,1954-55,Football,Sr. Varsity,Boys,Div I,St. Mary's
140,1955-56,Basketball,Jr. Varsity,Boys,Div I,Western Canada
141,1955-56,Basketball,Jr. Varsity,Girls,Div I,Western Canada
142,1955-56,Basketball,Sr. Varsity,Boys,Div I,Crescent Heights
143,1955-56,Basketball,Sr. Varsity,Girls,Div I,Central Collegiate Institute
144,1955-56,Football,Jr. Varsity,Boys,Div I,St. Mary's
145,1955-56,Football,Sr. Varsity,Boys,Div I,Crescent Heights
146,1955-56,Track and Field,Jr. Varsity,Boys,None,Crescent Heights
147,1955-56,Track and Field,Sr. Varsity,Boys,None,Western Canada
148,1956-57,Basketball,Jr. Varsity,Boys,Div I,Western Canada
149,1956-57,Basketball,Jr. Varsity,Girls,Div I,Western Canada
150,1956-57,Basketball,Sr. Varsity,Boys,Div I,Crescent Heights
151,1956-57,Basketball,Sr. Varsity,Girls,Div I,Central Collegiate Institute
152,1956-57,Football,Jr. Varsity,Boys,Div I,St. Mary's
153,1956-57,Football,Sr. Varsity,Boys,Div I,Central Collegiate Institute
154,1956-57,Track and Field,Jr. Varsity,Boys,None,Crescent Heights
155,1956-57,Track and Field,Jr. Varsity,Girls,None,Crescent Heights
156,1956-57,Track and Field,Sr. Varsity,Boys,None,"Central Memorial 
and Western Canada"
157,1956-57,Track and Field,Sr. Varsity,Girls,None,Crescent Heights
