,YEAR WON,SPORT,LEVEL,GENDER,DIVISION,WINNER
342,,,Jr. Varsity,Boys,Div I,St. Mary's
343,,,Sr. Varsity,Boys,Div I,Henry Wise Wood
344,,Soccer,,,,
345,,,Varsity,Boys,Div I,Crescent Heights
346,,Swimming,,,,
347,,,Grand Aggregate,Coed,None,Viscount Bennett
348,,Track and Field,,,,
349,,,Jr. Varsity,Boys,None,Crescent Heights
350,,,Jr. Varsity,Girls,None,"Viscount Bennett
and Central Collegiate Institute"
351,,,Sr. Varsity,Boys,None,St. Mary's
352,,,Sr. Varsity,Girls,None,"Viscount Bennett 
and Central Collegiate Institute"
353,,Volleyball,,,,
354,,,Jr. Varsity,Girls,Div I,Viscount Bennett
355,,,Sr. Varsity,Girls,Div I,William Aberhart
356,1963-64,,,,,
357,,Basketball,,,,
358,,,Jr. Varsity,Boys,Div I,St. Mary's
359,,,Jr. Varsity,Girls,Div I,Western Canada
360,,,Sr. Varsity,Boys,Div I,Central Collegiate Institute
361,,,Sr. Varsity,Girls,Div I,Crescent Heights
362,,Football,,,,
363,,,Jr. Varsity,Boys,Div I,Crescent Heights
364,,,Sr. Varsity,Boys,Div I,St. Mary's
365,,Soccer,,,,
366,,,Varsity,Boys,Div I,Not Awarded
367,,Swimming,,,,
368,,,Grand Aggregate,Coed,None,William Aberhart
369,,Track and Field,,,,
370,,,Jr. Varsity,Boys,None,St. Mary's
371,,,Jr. Varsity,Girls,None,Viscount Bennett
372,,,Sr. Varsity,Boys,None,St. Mary's
373,,,Sr. Varsity,Girls,None,Queen Elizabeth
374,,Volleyball,,,,
375,,,Jr. Varsity,Girls,Div I,James Fowler
376,,,Sr. Varsity,Girls,Div I,Western Canada
377,1964-65,,,,,
378,,Basketball,,,,
379,,,Jr. Varsity,Boys,Div I,William Aberhart
380,,,Jr. Varsity,Girls,Div I,St. Francis
381,,,Sr. Varsity,Boys,Div I,Western Canada
382,,,Sr. Varsity,Girls,Div I,Viscount Bennett
383,,Diving,,,,
384,,,Grand Aggregate,Coed,None,William Aberhart
385,,Football,,,,
386,,,Jr. Varsity,Boys,Div I,Henry Wise Wood
387,,,Sr. Varsity,Boys,Div I,Crescent Heights
388,,Soccer,,,,
389,,,Varsity,Boys,Div I,Not Awarded
390,,Swimming,,,,
391,,,Grand Aggregate,Coed,None,James Fowler
392,,Track and Field,,,,
393,,,Jr. Varsity,Boys,None,Viscount Bennett
394,,,Jr. Varsity,Girls,None,Queen Elizabeth
395,,,Sr. Varsity,Boys,None,St. Mary's
396,,,Sr. Varsity,Girls,None,Viscount Bennett
397,,Volleyball,,,,
398,,,Jr. Varsity,Girls,Div I,James Fowler
399,,,Sr. Varsity,Girls,Div I,Henry Wise Wood
400,1965-66,,,,,
401,,Basketball,,,,
402,,,Jr. Varsity,Boys,Div I,Western Canada
403,,,Jr. Varsity,Girls,Div I,St. Francis
404,,,Sr. Varsity,Boys,Div I,Ernest Manning
405,,,Sr. Varsity,Girls,Div I,Henry Wise Wood
406,,Diving,,,,
407,,,Grand Aggregate,Coed,None,James Fowler
408,,Football,,,,
409,,,Jr. Varsity,Boys,Div I,Henry Wise Wood
410,,,Sr. Varsity,Boys,Div I,Queen Elizabeth
411,,Soccer,,,,
412,,,Varsity,Boys,Div I,Not Awarded
413,,Swimming,,,,
414,,,Grand Aggregate,Coed,None,Crescent Heights
415,,Track and Field,,,,
416,,,Jr. Varsity,Boys,None,Viscount Bennett
417,,,Jr. Varsity,Girls,None,William Aberhart
418,,,Sr. Varsity,Boys,None,Western Canada
419,,,Sr. Varsity,Girls,None,Viscount Bennett
420,,Volleyball,,,,
421,,,Jr. Varsity,Girls,Div I,St. Francis
422,,,Sr. Varsity,Girls,Div I,James Fowler
423,1966-67,,,,,
424,,Basketball,,,,
425,,,Jr. Varsity,Boys,Div I,Bishop Grandin
426,,,Jr. Varsity,Girls,Div I,Ernest Manning
427,,,Sr. Varsity,Boys,Div I,St. Francis
428,,,Sr. Varsity,Girls,Div I,Viscount Bennett
429,,Diving,,,,
430,,,Grand Aggregate,Coed,None,Henry Wise Wood
431,,Football,,,,
432,,,Jr. Varsity,Boys,Div I,Viscount Bennett
433,,,Sr. Varsity,Boys,Div I,Queen Elizabeth
434,,Soccer,,,,
435,,,Varsity,Boys,Div I,Not Awarded
436,,Swimming,,,,
437,,,Grand Aggregate,Coed,None,Not Awarded
438,,Track and Field,,,,
439,,,Jr. Varsity,Boys,None,Western Canada
440,,,Jr. Varsity,Girls,None,William Aberhart
441,,,Sr. Varsity,Boys,None,Western Canada
442,,,Sr. Varsity,Girls,None,Viscount Bennett
443,,Volleyball,,,,
444,,,Jr. Varsity,Girls,Div I,Viscount Bennett
445,,,Sr. Varsity,Girls,Div I,Viscount Bennett
446,1967-68,Basketball,,,,
447,,,Jr. Varsity,Boys,Div I,Crescent Heights
448,,,Jr. Varsity,Girls,Div I,St. Mary's
449,,,Sr. Varsity,Boys,Div I,St. Francis
450,,,Sr. Varsity,Girls,Div I,Crescent Heights
451,,Diving,,,,
452,,,Grand Aggregate,Coed,None,Henry Wise Wood
453,,Football,,,,
454,,,Jr. Varsity,Boys,Div I,James Fowler
455,,,Sr. Varsity,Boys,Div I,Viscount Bennett
456,,,Sr. Varsity,Boys,Div II,Bishop Grandin
457,,Soccer,,,,
458,,,Varsity,Boys,Div I,Not Awarded
459,,Swimming,,,,
460,,,Grand Aggregate,Coed,None,William Aberhart
461,,Track and Field,,,,
462,,,Jr. Varsity,Boys,None,Western Canada
463,,,Jr. Varsity,Girls,None,Western Canada
464,,,Sr. Varsity,Boys,None,Henry Wise Wood
465,,,Sr. Varsity,Girls,None,Henry Wise Wood
466,,Volleyball,,,,
467,,,Jr. Varsity,Girls,Div I,James Fowler
468,,,Sr. Varsity,Girls,Div I,Crescent Heights
469,1968-69,Basketball,,,,
470,,,Jr. Varsity,Boys,Div I,James Fowler
471,,,Jr. Varsity,Girls,Div I,St. Francis
472,,,Sr. Varsity,Boys,Div I,Western Canada
473,,,Sr. Varsity,Girls,Div I,William Aberhart
474,,Diving,,,,
475,,,Grand Aggregate,Coed,None,Not Awarded
476,,Football,,,,
477,,,Jr. Varsity,Boys,Div I,James Fowler
478,,,Sr. Varsity,Boys,Div I,Henry Wise Wood
479,,,Sr. Varsity,Boys,Div II,Crescent Heights
480,,Soccer,,,,
481,,,Varsity,Boys,Div I,Not Awarded
482,,Swimming,,,,
483,,,Grand Aggregate,Coed,None,Not Awarded
484,,Track and Field,,,,
485,,,Jr. Varsity,Boys,None,Western Canada
486,,,Jr. Varsity,Girls,None,Central Memorial
487,,,Sr. Varsity,Boys,None,Western Canada
488,,,Sr. Varsity,Girls,None,Western Canada
489,,Volleyball,,,,
490,,,Jr. Varsity,Girls,Div I,Sir Winston Churchill
491,,,Sr. Varsity,Girls,Div I,Crescent Heights
492,1969-70,,,,,
493,,Badminton,,,,
494,,,Aggregate,Coed,Div I,Henry Wise Wood
495,,Basketball,,,,
496,,,Jr. Varsity,Boys,Div I,James Fowler
497,,,Jr. Varsity,Boys,Div II,Viscount Bennett
498,,,Jr. Varsity,Girls,Div I,St. Mary’s
499,,,Sr. Varsity,Boys,Div I,James Fowler
500,,,Sr. Varsity,Boys,Div II,Bishop Grandin
501,,,Sr. Varsity,Girls,Div I,Ernest Manning
502,,Diving,,,,
503,,,Grand Aggregate,Coed,None,Bishop Grandin
504,,Football,,,,
505,,,Jr. Varsity,Boys,Div I,James Fowler
506,,,Sr. Varsity,Boys,Div I,Viscount Bennett
507,,,Sr. Varsity,Boys,Div II,Bishop Grandin
508,,Soccer,,,,
509,,,Varsity,Boys,Div I,Not Awarded
510,,Swimming,,,,
511,,,Grand Aggregate,Coed,None,Not Awarded
512,,Track and Field,,,,
513,,,Jr. Varsity,Boys,None,Central Memorial
514,,,Jr. Varsity,Girls,None,Central Memorial
515,,,Sr. Varsity,Boys,None,Central Memorial
516,,,Sr. Varsity,Girls,None,Central Memorial
517,,Volleyball,,,,
518,,,Jr. Varsity,Girls,Div I,Crescent Heights
519,,,Sr. Varsity,Boys,Div I,Crescent Heights
520,,,Sr. Varsity,Girls,Div I,James Fowler
521,,Wrestling,,,,
522,,,Sr. Varsity,Boys,None,Lord Beaverbrook
523,1970-71,,,,,
524,Fall,Field Hockey,,,,
525,,,Jr. Varsity,Girls,None,James Fowler
526,,,,,,
527,,Badminton,,,,
528,,,Aggregate,Coed,Div I,Western Canada
529,Fall,Basketball,,,,
530,,,Jr. Varsity,Boys,Div I,Henry Wise Wood
531,,,Jr. Varsity,Boys,Div II,Dr. E.P. Scarlett
532,,,Jr. Varsity,Girls,Div I,St. Francis
533,,,Sr. Varsity,Boys,Div I,St. Francis
534,,,Sr. Varsity,Boys,Div II,Lord Beaverbrook
535,,,Sr. Varsity,Girls,Div I,Bowness
536,,Diving,,,,
537,,,Grand Aggregate,Coed,None,Lord Beaverbrook
538,,Football,,,,
539,,,Jr. Varsity,Boys,Div I,Henry Wise Wood
540,,,Sr. Varsity,Boys,Div I,St. Francis
541,,,Sr. Varsity,Boys,Div II,William Aberhart
542,,Soccer,,,,
543,,,Varsity,Boys,Div I,Not Awarded
544,,Swimming,,,,
545,,,Grand Aggregate,Coed,None,Not Awarded
546,,Track and Field,,,,
547,,,Jr. Varsity,Boys,None,Ernest Manning
548,,,Jr. Varsity,Girls,None,Western Canada
549,,,Sr. Varsity,Boys,None,St. Francis
550,,,Sr. Varsity,Girls,None,Central Memorial
551,,Volleyball,,,,
552,,,Jr. Varsity,Girls,Div I,St. Mary's
553,,,Sr. Varsity,Boys,Div I,Crescent Heights
554,,,Sr. Varsity,Girls,Div I,Crescent Heights
555,,Wrestling,,,,
556,,,Sr. Varsity,Boys,None,Lord Beaverbrook
557,1971-72,,,,,
558,,Field Hockey,,,,
559,,,Jr. Varsity,Girls,None,Henry Wise Wood
560,,,,,,
561,,Badminton,,,,
562,,,Aggregate,Coed,Div I,Henry Wise Wood
563,,,Aggregate,Coed,Div II,Lord Beaverbrook
564,,Basketball,,,,
565,,,Jr. Varsity,Boys,Div I,Lord Beaverbrook
566,,,Jr. Varsity,Boys,Div II,Queen Elizabeth
567,,,Jr. Varsity,Girls,Div I,Western Canada
568,,,Sr. Varsity,Boys,Div I,St. Francis
569,,,Sr. Varsity,Boys,Div II,Central Memorial
570,,,Sr. Varsity,Girls,Div I,St. Mary’s
571,,Diving,,,,
572,,,Grand Aggregate,Coed,None,Lord Beaverbrook
573,,Football,,,,
574,,,Jr. Varsity,Boys,Div I,Sir Winston Churchill
575,,,Jr. Varsity,Boys,Div II,Bowness
576,,,Sr. Varsity,Boys,Div I,Crescent Heights
577,,,Sr. Varsity,Boys,Div II,William Aberhart
578,,Soccer,,,,
579,,,Varsity,Boys,Div I,Not Awarded
580,,Swimming,,,,
581,,,Grand Aggregate,Coed,None,Not Awarded
582,,Track and Field,,,,
583,,,Jr. Varsity,Boys,None,Western Canada
584,,,Jr. Varsity,Girls,None,Bishop Carroll
585,,,Sr. Varsity,Boys,None,Central Memorial
586,,,Sr. Varsity,Girls,None,Western Canada
587,,Volleyball,,,,
588,,,Jr. Varsity,Girls,Div I,Viscount Bennett
589,,,Sr. Varsity,Boys,Div I,William Aberhart
590,,,Sr. Varsity,Girls,Div I,Sir Winston Churchill
591,,Wrestling,,,,
592,,,Sr. Varsity,Boys,None,Viscount Bennett
593,1972-73,,,,,
594,Fall,Field Hockey,,,,
595,,,Jr. Varsity,Girls,None,Forest Lawn
596,,,Varsity,Girls,Div I,James Fowler
597,,,,,,
598,,Badminton,,,,
599,,,Aggregate,Coed,Div I,Western Canada
600,,,Aggregate,Coed,Div II,James Fowler
601,,Basketball,,,,
602,,,Jr. Varsity,Boys,Div I,Bishop Grandin
603,,,Jr. Varsity,Boys,Div II,William Aberhart
604,,,Jr. Varsity,Girls,Div I,Dr. E.P. Scarlett
605,,,Sr. Varsity,Boys,Div I,Sir Winston Churchill
606,,,Sr. Varsity,Boys,Div II,Bishop Carroll
607,,,Sr. Varsity,Girls,Div I,Ernest Manning
608,,Diving,,,,
609,,,Grand Aggregate,Coed,None,Lord Beaverbrook
610,,Football,,,,
611,,,Jr. Varsity,Boys,Div I,Bowness
